Season,Team,Score,Country,Flag
1986–87,Porto,4,Portugal,23px-Flag_of_Portugal.svg.png
1986–87,Bayern Munich,3,West Germany,23px-Flag_of_Germany.svg.png
1986–87,Dynamo Kyiv,2,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1986–87,Real Madrid,2,Spain,23px-Flag_of_Spain.svg.png
1986–87,Brøndby,1,Denmark,20px-Flag_of_Denmark.svg.png
1986–87,Beşiktaş,1,Turkey,23px-Flag_of_Turkey.svg.png
1986–87,Anderlecht,1,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1986–87,Red Star Belgrade,1,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1987–88,PSV Eindhoven,4,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1987–88,Benfica,3,Portugal,23px-Flag_of_Portugal.svg.png
1987–88,Real Madrid,2,Spain,23px-Flag_of_Spain.svg.png
1987–88,Steaua București,2,Romania,23px-Flag_of_Romania_%281965%E2%80%931989%29.svg.png
1987–88,Bayern Munich,1,West Germany,23px-Flag_of_Germany.svg.png
1987–88,Bordeaux,1,France,23px-Flag_of_France.svg.png
1987–88,Rangers,1,Scotland,23px-Flag_of_Scotland.svg.png
1987–88,Anderlecht,1,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1988–89,Steaua București,3,Romania,23px-Flag_of_Romania_%281965%E2%80%931989%29.svg.png
1988–89,Milan,4,Italy,23px-Flag_of_Italy.svg.png
1988–89,Real Madrid,2,Spain,23px-Flag_of_Spain.svg.png
1988–89,Galatasaray,2,Turkey,23px-Flag_of_Turkey.svg.png
1988–89,PSV Eindhoven,1,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1988–89,Werder Bremen,1,West Germany,23px-Flag_of_Germany.svg.png
1988–89,IFK Göteborg,1,Sweden,23px-Flag_of_Sweden.svg.png
1988–89,Monaco,1,France,23px-Flag_of_France.svg.png
1989–90,Milan,4,Italy,23px-Flag_of_Italy.svg.png
1989–90,Benfica,3,Portugal,23px-Flag_of_Portugal.svg.png
1989–90,Bayern Münich,2,West Germany,23px-Flag_of_Germany.svg.png
1989–90,Marseille,2,France,23px-Flag_of_France.svg.png
1989–90,Mechelen,1,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1989–90,PSV Eindhoven,1,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1989–90,CSKA Sofia,1,Bulgaria,23px-Flag_of_Bulgaria_%281971%E2%80%931990%29.svg.png
1989–90,Dnipro Dnipropetrovsk,1,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1990–91,Red Star Belgrade,4,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1990–91,Marseille,3,France,23px-Flag_of_France.svg.png
1990–91,Bayern Munich,2,Germany,23px-Flag_of_Germany.svg.png
1990–91,Spartak Moscow,2,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1990–91,Porto,1,Portugal,23px-Flag_of_Portugal.svg.png
1990–91,Dynamo Dresden,1,Germany,23px-Flag_of_Germany.svg.png
1990–91,Real Madrid,1,Spain,23px-Flag_of_Spain.svg.png
1990–91,Milan,1,Italy,23px-Flag_of_Italy.svg.png
1991–92,Sampdoria,3,Italy,23px-Flag_of_Italy.svg.png
1991–92,Barcelona,4,Spain,23px-Flag_of_Spain.svg.png
1991–92,RSB,2,Italy,23px-Flag_of_Italy.svg.png
1991–92,AND,1,Italy,23px-Flag_of_Italy.svg.png
1991–92,PAN,1,Italy,23px-Flag_of_Italy.svg.png
1991–92,PRA,2,Spain,23px-Flag_of_Spain.svg.png
1991–92,BEN,1,Spain,23px-Flag_of_Spain.svg.png
1991–92,DK,1,Spain,23px-Flag_of_Spain.svg.png
1992–93,Marseille,4,France,23px-Flag_of_France.svg.png
1992–93,Milan,3,Italy,23px-Flag_of_Italy.svg.png
1992–93,RAN,2,France,23px-Flag_of_France.svg.png
1992–93,CB,1,France,23px-Flag_of_France.svg.png
1992–93,CM,1,France,23px-Flag_of_France.svg.png
1992–93,GOT,2,Italy,23px-Flag_of_Italy.svg.png
1992–93,POR,1,Italy,23px-Flag_of_Italy.svg.png
1992–93,PSV,1,Italy,23px-Flag_of_Italy.svg.png
1993–94,Milan,4,Italy,23px-Flag_of_Italy.svg.png
1993–94,Barcelona,3,Spain,23px-Flag_of_Spain.svg.png
1993–94,Monaco,2,France,23px-Flag_of_France.svg.png
1993–94,Porto,2,Portugal,23px-Flag_of_Portugal.svg.png
1993–94,SPA,1,Spain,23px-Flag_of_Spain.svg.png
1993–94,GAL,1,Spain,23px-Flag_of_Spain.svg.png
1993–94,BRM,1,Italy,23px-Flag_of_Italy.svg.png
1993–94,AND,1,Italy,23px-Flag_of_Italy.svg.png
1994–95,Ajax,4,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1994–95,Milan,3,Italy,23px-Flag_of_Italy.svg.png
1994–95,Bayern Munich,2,Germany,23px-Flag_of_Germany.svg.png
1994–95,Paris Saint-Germain,2,France,23px-Flag_of_France.svg.png
1994–95,IFK Göteborg,1,Sweden,23px-Flag_of_Sweden.svg.png
1994–95,Hajduk Split,1,Croatia,23px-Flag_of_Croatia.svg.png
1994–95,Barcelona,1,Spain,23px-Flag_of_Spain.svg.png
1994–95,Benfica,1,Portugal,23px-Flag_of_Portugal.svg.png
1995–96,Ajax,3,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1995–96,Juventus,4,Italy,23px-Flag_of_Italy.svg.png
1995–96,Panathinaikos,2,Greece,23px-Flag_of_Greece.svg.png
1995–96,Nantes,2,France,23px-Flag_of_France.svg.png
1995–96,Borussia Dortmund,1,Germany,23px-Flag_of_Germany.svg.png
